fertilizer_name,uses,description,average_price,image_url,crop_type,soil_type,nutrient_focus
Urea (46-0-0),Boosts vegetative growth; increases leaf and stem development; corrects nitrogen deficiency,"Urea is the most widely used nitrogenous fertilizer in India, containing 46% nitrogen. It is highly soluble and rapidly absorbed by plants, making it ideal for top-dressing.",₹266 per 45kg bag,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Urea_ball.jpg/320px-Urea_ball.jpg,Wheat; Rice; Maize; Sugarcane,Loamy; Clay loam; Sandy loam,N
DAP (18-46-0),Promotes strong root development; enhances early plant establishment; supplies phosphorus and nitrogen,"Di-Ammonium Phosphate (DAP) is one of the most popular phosphatic fertilizers in India. It provides both nitrogen and phosphorus in a highly available form, making it ideal for basal application.",₹1350 per 50kg bag,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/DAP_fertilizer.jpg/320px-DAP_fertilizer.jpg,All crops; especially Rice; Wheat; Pulses,All soil types,N-P
NPK 10-26-26,Supports balanced growth; enhances flowering and fruiting; strengthens roots,"This NPK blend offers a high phosphorus and potassium ratio with moderate nitrogen, making it ideal for the reproductive stage of crops. It improves yield quality and stress tolerance.",₹1450 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Fruits; Cotton; Oilseeds,Sandy loam; Loamy,N-P-K
NPK 12-32-16,Enhances root and shoot development; supports early crop growth; increases tillering,"A balanced NPK fertilizer with a higher phosphorus content suitable for basal application in most crops. It supports both vegetative and early reproductive growth stages.",₹1500 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Rice; Wheat; Pulses; Vegetables,Alluvial; Loamy,N-P-K
NPK 20-20-20,Provides equal proportions of N-P-K for all-round growth; suitable for foliar spray and fertigation,"This fully water-soluble NPK fertilizer is widely used in drip and foliar applications. It ensures balanced nutrition throughout the crop cycle and is especially popular in horticulture.",₹120 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Fruits; Vegetables; Flowers; Plantation crops,All soil types,N-P-K
NPK 19-19-19,Promotes uniform growth; ideal for fertigation and foliar feeding; corrects multi-nutrient deficiency,"A fully water-soluble grade suitable for all crops during active growth phases. Often used in fertigation systems and as a foliar spray to maintain balanced nutrition.",₹115 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,All crops; Orchards; Vegetables,Sandy; Loamy; Red soil,N-P-K
Muriate of Potash (MOP),Improves fruit quality and size; increases disease resistance; enhances water use efficiency,"Muriate of Potash (0-0-60) is the most commonly used potassium fertilizer in India. It strengthens cell walls, improves drought tolerance, and enhances the shelf life of produce.",₹900 per 50kg bag,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Potassium_chloride_crystals.jpg/320px-Potassium_chloride_crystals.jpg,Potato; Banana; Sugarcane; Vegetables,Loamy; Sandy loam,K
Sulphate of Potash (SOP),Enhances fruit color and sweetness; safe for chloride-sensitive crops; improves crop quality,"Sulphate of Potash (0-0-50) provides potassium along with sulphur and is recommended for chloride-sensitive crops like grapes, pomegranate, and potato. It improves yield and post-harvest quality.",₹65 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Grapes; Pomegranate; Potato; Tomato,Sandy loam; Red laterite,K-S
Single Super Phosphate (SSP),Supplies phosphorus and sulphur; improves root growth; corrects sulphur deficiency in soils,"SSP (16% P2O5; 11% S) is a cost-effective source of both phosphorus and sulphur. It is widely used in India for oilseed and pulse crops where sulphur nutrition is equally important.",₹400 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Oilseeds; Pulses; Groundnut; Mustard,Black; Alluvial; Loamy,P-S
Triple Super Phosphate (TSP),Promotes vigorous root system; enhances phosphorus uptake; beneficial for phosphorus-deficient soils,"TSP (46% P2O5) is a concentrated phosphatic fertilizer without nitrogen, ideal for use where only phosphorus supplementation is needed. It is suitable as a basal dose in most crops.",₹800 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Wheat; Maize; Vegetables; Pulses,Acidic; Neutral; Loamy,P
Ammonium Sulphate,Provides nitrogen and sulphur; ideal for alkaline soils; promotes leafy growth and greening,"Ammonium Sulphate (21% N; 24% S) is a fast-acting nitrogen fertilizer with an acidifying effect, making it suitable for alkaline and calcareous soils. It is especially beneficial for sulphur-loving crops.",₹800 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Paddy; Tea; Sugarcane; Oilseeds,Alkaline; Calcareous; Loamy,N-S
Calcium Ammonium Nitrate (CAN),Improves calcium nutrition; reduces soil acidity; provides quick-release nitrogen,"CAN contains both ammoniacal and nitrate nitrogen (26% N) along with calcium, making it a safe and efficient nitrogen fertilizer. It is less prone to volatilization compared to urea and improves soil structure.",₹900 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Wheat; Fruits; Flowers,Acidic; Sandy; Loamy,N-Ca
Zinc Sulphate,Corrects zinc deficiency; improves grain filling and seed quality; enhances enzyme activity,"Zinc Sulphate (21% Zn) is the most widely used micronutrient fertilizer in India, where zinc deficiency is widespread. It promotes healthy root growth, improves photosynthesis, and increases grain yield in cereals.",₹120 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Rice; Wheat; Maize; Fruits,Sandy; Light textured; Calcareous,Micronutrients (Zn)
Ferrous Sulphate,Corrects iron chlorosis; improves chlorophyll synthesis; restores green color to yellowing plants,"Ferrous Sulphate (19% Fe) is used to treat iron-deficiency chlorosis in crops and acidify high-pH soils. It is especially important in calcareous and waterlogged soils where iron availability is low.",₹35 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Fruits; Vegetables; Paddy; Groundnut,Calcareous; Alkaline; Sandy,Micronutrients (Fe)
Borax (Boron),Improves pollen germination and fruit set; corrects boron deficiency; promotes cell division,"Borax (11% B) is an essential micronutrient fertilizer that supports reproductive growth in crops. Boron deficiency leads to hollow heart in root crops, poor fruit set in orchards, and tip burn in vegetables.",₹80 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Sunflower; Groundnut; Cauliflower; Apple,Sandy; Acidic; Leached soils,Micronutrients (B)
Magnesium Sulphate (Epsom Salt),Corrects magnesium deficiency; enhances chlorophyll production; improves nutrient uptake,"Magnesium Sulphate (9.6% Mg; 13% S) is used as both a soil and foliar application to correct magnesium deficiency, which commonly appears as interveinal chlorosis. It is especially useful in sandy and acidic soils.",₹30 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Banana; Potato; Vegetables; Tea,Sandy; Acidic; Light soils,Micronutrients (Mg-S)
Vermicompost,Improves soil structure and microbial activity; supplies balanced macro and micronutrients; enhances water retention,"Vermicompost is produced by earthworm digestion of organic waste and is rich in humus, beneficial microbes, enzymes, and plant growth hormones. It improves soil fertility and promotes sustainable agriculture.",₹8 per kg (bulk) / ₹350 per 50kg bag,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vermicompost_worm_castings.jpg/320px-Vermicompost_worm_castings.jpg,All crops; Vegetables; Fruits; Ornamentals,All soil types; especially Sandy and degraded soils,Organic matter; N-P-K-Micronutrients
Farmyard Manure (FYM),Improves soil organic matter; enhances microbial life; supplies slow-release nutrients,"FYM is a mixture of animal dung, urine, and decomposed crop residues. When well-decomposed, it supplies a balanced range of nutrients and significantly improves soil water-holding capacity and aeration.",₹1500 per tonne,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Cow_manure_midden.jpg/320px-Cow_manure_midden.jpg,All field crops; Vegetables; Orchards,Degraded; Sandy; Clay soils,Organic matter; N-P-K
Neem Cake,Acts as natural pest deterrent; improves nitrogen efficiency; suppresses soil-borne pathogens,"Neem Cake is the residue obtained after cold pressing of neem seeds. It contains azadirachtin which inhibits nematodes and soil insects, while also slowing down nitrification and improving fertilizer use efficiency.",₹15 per kg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Neem_cake.jpg/320px-Neem_cake.jpg,Vegetables; Rice; Sugarcane; Pulses,All soil types,N-Organic matter
Bone Meal,Promotes root and flower development; supplies phosphorus and calcium; slow-release nutrient source,"Bone Meal is derived from ground animal bones and contains 15–27% phosphorus and 12–15% calcium. It is a slow-release fertilizer that improves root establishment and is especially popular in organic horticulture.",₹40 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Flowers; Fruits; Vegetables; Bulbs,Acidic; Neutral; Sandy,P-Ca
Blood Meal,Rapidly boosts soil nitrogen; corrects severe N-deficiency; promotes fast vegetative growth,"Blood Meal (12–14% N) is a fast-acting organic nitrogen fertilizer derived from dried animal blood. It acidifies soil slightly and is useful for boosting green leafy growth in organic farming systems.",₹60 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Leafy vegetables; Corn; Flowers,Alkaline; Neutral soils,N
Seaweed Extract,Stimulates plant growth hormones; improves stress tolerance; enhances nutrient absorption,"Seaweed extract contains cytokinins, auxins, and alginates that promote cell division and root development. It helps crops withstand drought, salinity, and frost stress while improving yield and quality.",₹350 per litre,https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=400,All crops; especially Horticulture; Grapes; Tomato,All soil types,Biostimulant; Micronutrients
Humic Acid,Improves nutrient uptake efficiency; enhances soil carbon content; promotes root elongation,"Humic Acid is derived from leonardite or lignite and improves cation exchange capacity (CEC) of soils. It chelates micronutrients and makes them more available to plants, particularly in high-pH soils.",₹250 per litre (liquid) / ₹80 per kg (granule),https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,All crops; Orchards; Cotton; Vegetables,Sandy; Saline-alkaline; Degraded soils,Organic matter; Micronutrients
Potassium Nitrate (13-0-45),Provides potassium and nitrate nitrogen; improves fruit quality; suitable for fertigation and foliar spray,"Potassium Nitrate is a fully water-soluble fertilizer widely used in drip irrigation and foliar applications. The nitrate form of nitrogen is rapidly absorbed, and the high potassium content improves fruit size, color, and sugar content.",₹90 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Grapes; Tomato; Pomegranate; Mango,Sandy loam; Loamy,N-K
Mono Ammonium Phosphate (MAP 12-61-0),Supplies highly soluble phosphorus and nitrogen; ideal as starter fertilizer; enhances root and seedling development,"MAP is a fully water-soluble fertilizer with the highest phosphorus content among common water-soluble fertilizers. Its low pH in solution makes phosphorus highly available, especially in alkaline soils.",₹100 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Wheat; Pulses; Flowers,Alkaline; Neutral; Sandy,N-P
Mono Potassium Phosphate (MKP 0-52-34),Boosts root strength and fruit quality; provides phosphorus and potassium without nitrogen; ideal during flowering,"MKP is a premium water-soluble fertilizer used in fertigation and foliar spray during flowering and fruiting. It is chloride-free and supports high-value crops where chloride toxicity is a concern.",₹180 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Grapes; Strawberry; Rose; Tomato,Sandy loam; Laterite,P-K
